,comp_no_empl,tech_comp_flag,mh_coverage_flag,mh_coverage_awareness_flag,mh_employer_discussion,mh_resources_provided,mh_anonimity_flag,mh_medical_leave,mh_discussion_neg_impact,ph_discussion_neg_impact,mh_discussion_cowork,mh_discussion_supervis,mh_eq_ph_employer,mh_conseq_coworkers,prev_employers_flag,prev_mh_benefits,prev_mh_benefits_awareness,prev_mh_discussion,prev_mh_resources,prev_mh_anonimity,prev_mh_discuss_neg_conseq,prev_ph_discuss_neg_conseq,prev_mh_discussion_cowork,prev_mh_discussion_supervisor,prev_mh_importance_employer,prev_mh_conseq_coworkers,future_ph_specification,why/why_not,future_mh_specification,why/why_not2,mh_hurt_on_career,mh_neg_view_cowork,mh_sharing_friends/fam_flag,mh_bad_response_workplace,mh_family_hist,mh_disorder_past,mh_disorder_current,mh_diagnos_proffesional,mh_sought_proffes_treatm,mh_eff_treat_impact_on_work,mh_not_eff_treat_impact_on_work,age,sex,work_position,remote_flag
468,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,"Regardless of what disability legislation says, health issues are a surefire way to get turned down for work.",No,Most people tend to assume that being mentally ill means you're going to be crap writing code.,Maybe,Maybe,Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,27,Male,Other|Executive Leadership|Supervisor/Team Lead|Dev Evangelist/Advocate|DevOps/SysAdmin|Back-end Developer|One-person shop,Always
469,More than 1000,0.0,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,Some did,I was aware of some,None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Fear of discrimination,No,"I'd rather ask about health benefits and look at it from there.  No need to bring it up in an interview unless it directly affects the job, or is specifically brought up by the interviewer",Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Sometimes,Often,35,Male,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Sometimes
470,6-25,1.0,No,No,No,I don't know,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,None did,None of them,Maybe,I believe I would  just for the sake of transparency,Maybe,It would depend on my general feelings of the employer/my issue,Maybe,Maybe,Neutral,No,Yes,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,23,Male,Front-end Developer,Never
471,More than 1000,0.0,Yes,I am not sure,I don't know,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Maybe,Fear of discrimination,Maybe,Stigma,Maybe,Maybe,Somewhat not open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,37,Male,Other,Sometimes
472,6-25,1.0,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,"It depends on if it was relevant or affected my job in any way. Also, if I felt like I could trust the person in my interview.",Maybe,See above answer - related to trust.,Maybe,Maybe,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,DevOps/SysAdmin|Front-end Developer|Back-end Developer,Sometimes
473,26-100,0.0,Yes,Yes,No,No,Yes,Neither easy nor difficult,No,No,Maybe,Maybe,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,Fear of discrimination,Maybe,This would depend on the severity of an effect the issue could have on work performance.,Maybe,"No, I don't think they would",Neutral,Maybe/Not sure,I don't know,Maybe,Maybe,No,0,Sometimes,Sometimes,27,Male,Supervisor/Team Lead|DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Sometimes
474,1-5,1.0,I don't know,I am not sure,No,No,I don't know,Very easy,No,No,Maybe,Maybe,Yes,No,1,I don't know,I was aware of some,None did,None did,Sometimes,None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Maybe,If it affected my ability to perform at the job I would bring it up.,Maybe,I would bring it up if it affected day to day work. Otherwise probably would not because the stigma around it.,Maybe,Maybe,Somewhat not open,No,Yes,Maybe,Maybe,No,0,Rarely,Sometimes,27,Female,DevOps/SysAdmin|Back-end Developer|Front-end Developer|Designer,Always
475,More than 1000,1.0,Yes,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,1,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,Seems irrelevant.,No,Also irrelevant to getting  a job.,Maybe,"Yes, I think they would",Neutral,No,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,27,Female,Front-end Developer,Never
476,6-25,1.0,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,Fear of discrimination,No,Stigma,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,42,Male,Front-end Developer|Back-end Developer,Sometimes
477,6-25,0.0,Yes,I am not sure,No,No,Yes,Somewhat difficult,Maybe,Maybe,No,Maybe,No,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,"I don't see the need. If I'm at the interview, it's because I am fine working there as I am.",No,"I don't see the need. If I'm at the interview, it's because I am fine working there as I am.",Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,32,Male,Front-end Developer,Never
478,6-25,1.0,I don't know,I am not sure,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,1,"Yes, they all did","No, I only became aware later",Some did,Some did,Sometimes,None of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Fear of discrimination,Maybe,Stigma,Maybe,Maybe,Somewhat not open,No,Yes,Yes,Maybe,Yes,1,Sometimes,Often,26,Male,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
479,100-500,1.0,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Yes,No,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Maybe,"A sleep-related disorder prevents me from being able to arrive at early hours, which a large part of employers require.",No,"I wouldn't feel comfortable discussing mental health issues with anybody but really close friends and/or other sufferers in the first place. But also, it's not like it wouldn't hurt my chances of landing a position.","Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,28,Male,Back-end Developer,Never
480,6-25,1.0,I don't know,No,No,No,I don't know,I don't know,Yes,No,No,No,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",None of them,"Yes, at all of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Fear of discrimination,No,"I'm uncertain how the ADA applies to mental health, or whether it even applies at all","Yes, I think it would","Yes, I think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,28,Male,Front-end Developer,Sometimes
481,100-500,1.0,Yes,No,No,Yes,Yes,I don't know,Maybe,No,No,No,I don't know,No,1,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Maybe,Fear of discrimination,No,Stigma,"Yes, I think it would",Maybe,Somewhat open,No,Yes,Yes,No,Yes,1,Rarely,Sometimes,32,Male,Front-end Developer|Back-end Developer,Sometimes
482,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,a,No,a,Maybe,Maybe,Very open,No,I don't know,Yes,Yes,No,0,Not applicable to me,Sometimes,43,Male,Front-end Developer|Back-end Developer,Always
483,26-100,1.0,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,No,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,It seems like it would be hard to hide a physical issue.,Maybe,I would if I felt it would be a serious impediment to both parties as it pertains to my ability to do the job. Otherwise it could feel a bit like trapping the employer.,Maybe,Maybe,Somewhat open,Maybe/Not sure,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,34,Male,Back-end Developer,Never
484,6-25,1.0,I don't know,I am not sure,No,I don't know,No,Neither easy nor difficult,Maybe,Maybe,No,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,Sometimes,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,It would depend on whether I thought it might impact the job.,Maybe,Depend on the job,Maybe,Maybe,Somewhat not open,No,No,Maybe,Maybe,No,1,Rarely,Sometimes,61,Female,Other,Sometimes
485,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Fear of being passed over for a healthier candidate.,No,Fear that it would disqualify me in their mind.,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,0,Sometimes,Sometimes,50,Male,Back-end Developer,Always
486,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,"I'm ashamed / shy to admit something like this to a stranger. Unless I have a bond of a certain amount of intimacy with a person, I would never talk about myself in personal terms.",No,Same as above.,Maybe,Maybe,Not open at all,"Yes, I observed",Yes,Maybe,Yes,Yes,1,Often,Often,38,Male,One-person shop|Back-end Developer|DevOps/SysAdmin|Dev Evangelist/Advocate|Other,Sometimes
487,6-25,0.0,Not eligible for coverage / N/A,I am not sure,I don't know,I don't know,I don't know,I don't know,Yes,Maybe,Maybe,Maybe,No,Yes,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,because it is important to do the job,Yes,because it hurts me,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,51,Male,Front-end Developer,Sometimes
488,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did","No, I only became aware later",None did,None did,No,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",None did,None of them,Yes,The employers reaction would tell a lot of the type of company I'd be joining. ,Yes,Reaction would tell a lot of the type of employer they are. ,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,No,Yes,No,Yes,1,Never,Rarely,38,Male,Executive Leadership,Sometimes
489,500-1000,1.0,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,I don't know,Some of them,"Yes, at all of my previous employers",Some of my previous employers,I don't know,None of them,Yes,"If it was relevant to the job, then yes.",Maybe,"If was relevant to the job, then yes. But I do think that discussing mental health in a job interview is more risky (because of the negative perception it could create) than discussing physical health issues.",Maybe,Maybe,Very open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,34,Male,Front-end Developer|Designer,Always
490,6-25,1.0,No,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Maybe,No,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,I would bring it up only if it were already obvious and/or would not be likely to affect my performance.,Maybe,"I feel that a mental health issue would not be something I'd want them to take into account as part of the hiring process, unless it were a serious enough issue that I wouldn't want to work for an employer who was not willing to make accommodations for my issue.","Yes, I think it would","No, I don't think they would",Somewhat open,No,No,Yes,Maybe,Yes,1,Sometimes,Sometimes,43,Male,Front-end Developer|Back-end Developer,Always
491,100-500,1.0,Yes,No,No,Yes,I don't know,Somewhat difficult,Yes,No,No,Maybe,I don't know,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,"I would rather not bring something up unless I was sure it would impact my job, because I am always concerned that people will find it easier to turn me down as a candidate.",No,They are still stigmatized and without obvious mentions of acceptance by the employer beforehand I would worry that there would be hidden (or not so hidden) prejudice.  Again I would worry about being written off for the job.,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",No,No,Maybe,No,0,Not applicable to me,Rarely,43,Female,DevOps/SysAdmin,Sometimes
